Time,Subtitle,Translation,Transliteration,K-Drama Title,Year,Episode,Cue,Cue Type,Speech Level
4:18,"왜 이걸 입고 왔어, 오늘?",Why are you wearing this today?,"wae igeol ibgo wass-eo , oneul ?",Fight For My Way,2017,1,"N + -야, V + 아/어",Sentence ending,5
4:23,깔맞춤,To match my outfit.,kkalmajchum,Fight For My Way,2017,1,깔맞춤,깔맞춤,5
4:26,"아, 넌 진짜 지방색이 너무 짙어서 큰일이다",You won't ever be a city boy. ,"a , neon jin-jja jibangsaeg-i neomu jit-eoseo keun-il-ida",Fight For My Way,2017,1,"넌, N + -이다/다","Addressee term, Sentence ending",6
4:29,고등학교를 서울로 유학을 왔으면 좀 서울 사람인 척이라도 해봐야 될 거 아냐,Please just act like you're from Seoul.,godeunghaggyoleul seo-ullo yuhag-eul wass-eumyeon jom seo-ul salam-in cheog-ilado haebwa-ya doel geo anya,Fight For My Way,2017,1,V + 냐,Sentence ending,6
4:34,"나처럼, 어?",Look at me. ,"nacheoleom , eo ?",Fight For My Way,2017,1,"나, 어","Addressee term, Sentence ending",5
4:37,어? 울프컷,Wolf-cut.,eo ? ulpeukeos,Fight For My Way,2017,1,어,Discourse,5
4:40,그거 입고 고백하게?,-Does she know you're wearing that?,geugeo ibgo gobaeghage ?,Fight For My Way,2017,1,V + -하게,Sentence ending,4
4:40,내가?,-What?,naega ?,Fight For My Way,2017,1,내가,Addressee term,5
4:43,내가 누구한테 고백을 해?,-Who are you talking about?,naega nuguhante gobaeg-eul hae ?,Fight For My Way,2017,1,V + -아/어,"Addressee term, Sentence ending",5
4:43,장보람,-Jang Bo-ram.,jangbolam,Fight For My Way,2017,1,장보람,Addressee term,5
4:45,엥? 왜?,Why does she need to know?,eng ? wae ?,Fight For My Way,2017,1,V + -아/어,Sentence ending,5
4:47,넌 천방고 짱이지 걘 오공주 짱이지,"You're our best fighter
and she leads the girls.",neon cheonbanggo jjang-iji gyaen ogongju jjang-iji,Fight For My Way,2017,1,"넌, N + -이지/지","Addressee term, Sentence ending",5
4:49,약혼연대 안 할 거야?,You could be allies.,[ jjag soli ] yaghon-yeondae an hal geo-ya ?,Fight For My Way,2017,1,V + -야,Sentence ending,5
4:52,그게 뭐야?,What's that? ,[ igsalmaj-eun eum-ag ] geuge mwo-ya ?,Fight For My Way,2017,1,N + -야,Sentence ending,5
4:54,"야, 뭐, 아무튼",Why...,"[ kkulkkeog soli ] ya , mwo , amuteun",Fight For My Way,2017,1,야,Sentence ending,5
4:57,걔가 나 좋대냐?,-Did she say she likes me?,gyaega na johdaenya ?,Fight For My Way,2017,1,"나, V + 냐","Addressee term, Sentence ending",6
5:57,맨날 이 커피 우유 갖다 주는 거 보면 모르냐?,-She brings you coffee milk everyday.,maennal i keopi u-yu gajda juneun geo bomyeon moleunya ?,Fight For My Way,2017,1,V + 냐,Sentence ending,6
5:02,너 우리 학교 매점에서 커피 우유 선점하기가 얼마나 힘든 줄 알아?,"Do you know how hard it is
to get coffee milk in our school? ",neo uli haggyo maejeom-eseo keopi u-yu seonjeomhagiga eolmana himdeun jul al-a ?,Fight For My Way,2017,1,"너, V + 아/어","Addressee term, Sentence ending",5
5:09,"근데 나 같아도 이 모가지가 늘어난 붉은 악마랑은 엮이고 싶지가 않지, 이 새끼야","Even I wouldn't want to get involved
with a guy in a ragged red shirt. ","geunde na gat-ado i mogajiga neul-eonan bulg-eun agmalang-eun yeokk-igo sipjiga anhji , i sae-kki-ya",Fight For My Way,2017,1,"나, N + -야","Addressee term, Sentence ending",5
5:23,"저, 박무새? 아니야, 너 이름이...","Park Moo-se. No, what's your name?","jeo , bagmusae ? ani-ya , neo ileum-i ...",Fight For My Way,2017,1,너,Addressee,5
5:25,"무빈이, 무빈이",-It's Moo-bin.,"mubin-i , mubin-i",Fight For My Way,2017,1,Adressee + -이/아/야,"Addressee term, Sentence ending",5
5:25,"어, 무빈이, 박무빈","-Right, Moo-bin. ","eo , mubin-i , bagmubin",Fight For My Way,2017,1,Adressee + -이/아/야,"Addressee term, Honorific marker",5
5:29,협찬 좀 해주라,Sponsor this poor guy. ,hyeobchan jom haejula,Fight For My Way,2017,1,V + 라,Sentence ending,6
5:33,그래도 같은 반 교우가 전국체전 나가는데,"Your classmate is entering
the National Sports Festival. ",geulaedo gat-eun ban gyo-uga jeongugchejeon naganeunde,Fight For My Way,2017,1,,"Addressee term, Sentence ending",5
5:36,"그 정돈 해줄 수가 있잖아 우리가, 응?",Could you do that for him?,"geu jeongdon haejul suga issjanh-a uliga , eung ?",Fight For My Way,2017,1,,"Addressee term, Sentence ending",5
5:38,이따 강남 갔다 와서 바로 주면 오늘 야자 전에 줄 수 있어,"He's going to Gangnam so you'll get it
back before evening study. ",i-tta gangnam gassda waseo balo jumyeon oneul yaja jeon-e jul su iss-eo,Fight For My Way,2017,1,,Sentence ending,5
5:43,"어, 오늘 우리 똥만이 거기서 태권도 시합 있거든?",That's where his taekwondo match is. ,"eo , oneul uli ttongman-i geogiseo taegwondo sihab issgeodeun ?",Fight For My Way,2017,1,,"Addressee term, Sentence ending",5
5:46,거기서 얘가 딱 우승 먹고 세레모니로 도복 한번 쫙 벗어주면 뭔가 폼 나잖아,"He'll win the championship and take off his uniform
for an awesome ceremony.",geogiseo yaega ttag useung meoggo selemonilo dobog hanbeon jjwag beos-eojumyeon mwonga pom najanh-a,Fight For My Way,2017,1,,"Addressee term, Sentence ending",5
5:51,그때 너의 이 고급스러운 명품 체크가 양어깨에,"If he shows those fine marks
on his shoulder,",geu-ttae neo-ui i gogeubseuleo-un myeongpum chekeuga yang-eo-kkae-e,Fight For My Way,2017,1,,Addressee term,5
5:54,쫙 쫙 있으면 뭔가 우리 똥만이,"If he shows those fine marks
on his shoulder,",jjwag jjwag iss-eumyeon mwonga uli ttongman-i,Fight For My Way,2017,1,,Addressee term,5
5:56,"서울 사람 같을 거 아냐, 응?",he'll look like a kid from Seoul.,"seo-ul salam gat-eul geo anya , eung ?",Fight For My Way,2017,1,,Sentence ending,6
6:03,"야, 이거, 이걸 주는 거야?",Look what he's offering you.,"ya , igeo , igeol juneun geo-ya ?",Fight For My Way,2017,1,,Sentence ending,5
6:03,"야, 이거 귀한 거다, 이거",That's a precious gift. ,"ya , igeo gwihan geoda , igeo",Fight For My Way,2017,1,,Sentence ending,6
6:21,시합이 몇 시랬지?,-What time is the match?,sihab-i myeoch silaessji ?,Fight For My Way,2017,1,,Sentence ending,5
6:24,적어도 세 시 차는 타야 되는데 될까?,Can we catch the 3 p.m. train?,jeog-eodo se si chaneun ta-ya doeneunde doelkka ?,Fight For My Way,2017,1,,Sentence ending,5
6:27,"야, 무조건 갈 수 있어","Hey, we can make it. ","ya , mujogeon gal su iss-eo",Fight For My Way,2017,1,,Sentence ending,5
6:31,우리 지금 완벽해,We look perfect. ,uli jigeum wanbyeoghae,Fight For My Way,2017,1,,"Addressee term, Sentence ending",5
6:52,"아주 입술에 핏기가 아주 하나도 없네, 어?",Your lips are so pale.,"aju ibsul-e pisgiga aju hanado eobsne , eo ?",Fight For My Way,2017,1,,Sentence ending,4
7:00,가자,Let's go. ,gaja,Fight For My Way,2017,1,,Sentence ending,5
7:12,아무래도 아폴론 눈병인 것 같아요,"I think we have acute
hemorrhagic conjunctivitis.",amulaedo apollon nunbyeong-in geos gat-a-yo,Fight For My Way,2017,1,V + 요,Sentence ending,2
7:16,지금 니네한테 파스 냄새 엄청나,"I can smell the pain relief gel
all the way from here. ",jigeum ninehante paseu naemsae eomcheongna,Fight For My Way,2017,1,,"Addressee term, Sentence ending",5
7:18,"눈에 파스 바르는 거 위험한 거야 큰일 나, 아주","Don't apply it around your eyes.
You could go blind. ","nun-e paseu baleuneun geo wiheomhan geo-ya keun-il na , aju",Fight For My Way,2017,1,,Sentence ending,5
7:22,체육 하다가요,"I got hit by a shuttlecock
during PE class.",che-yug hadaga-yo,Fight For My Way,2017,1,V + 요,Sentence ending,2
7:22,어떤 놈의 셔틀콕에 맞았는데요,"I got hit by a shuttlecock
during PE class.",eo-tteon nom-ui syeoteulkog-e maj-assneunde-yo,Fight For My Way,2017,1,V + 요,Sentence ending,2
7:40,다 텄어,We're doomed. ,da teoss-eo,Fight For My Way,2017,1,,Sentence ending,5
7:41,아무것도 안 통해,Nothing worked. ,amugeosdo an tonghae,Fight For My Way,2017,1,,Sentence ending,5
7:45,"습, 발모가지가 나간 거 같다고 해볼까?",Shall we try saying we broke an ankle?,"seub , balmogajiga nagan geo gatdago haebolkka ?",Fight For My Way,2017,1,,Sentence ending,5
7:57,"어휴, 어떤 놈이 내 차 건드렸어?",Who touched my car this time?,"eohyu , eo-tteon nom-i nae cha geondeulyeoss-eo ? [ mun-eul dadneunda ]",Fight For My Way,2017,1,,"Addressee term, Sentence ending",5
8:00,"아휴, 새 찬데",It's a new car. ,"ahyu , sae chande",Fight For My Way,2017,1,,Sentence ending,5
8:09,나한테 좋은 방법이 있어 따라와,I have a great idea. Follow me. ,nahante joh-eun bangbeob-i iss-eo ttala-wa,Fight For My Way,2017,1,,Sentence ending,5
8:19,"마이크 마이크 챙겨, 마이크","The plastic mic, where is it?","( seolhui ) ma-ikeu ma-ikeu chaenggyeo , ma-ikeu",Fight For My Way,2017,1,,Sentence ending,5
8:23,"얘, 뭐 하니?","Hey, what are you doing?","yae , mwo hani ? [ tteol-eo-tteulinda ]",Fight For My Way,2017,1,,Sentence ending,4
8:27,"내려놔, 그거 하지 마",Put that down.  Don't do it. ,"naelyeonwa , geugeo haji ma",Fight For My Way,2017,1,,Sentence ending,5
8:29,"어디 가, 어디 가! 야, 너 형광이랑 너 핑크 다 봤어!","Where are you going?
Yellow and pink, I saw you girls!","eodi ga , eodi ga ! ya , neo hyeonggwang-ilang neo pingkeu da bwass-eo !",Fight For My Way,2017,1,,"Addressee term, Sentence ending",5
8:36,"야, 니들 어디 가?",Where are you girls going?,"( yeoseonsaeng ) ya , nideul eodi ga ?",Fight For My Way,2017,1,,"Addressee term, Sentence ending",5
8:43,넌 어떨 때 보면 진짜 오늘만 사는 애 같아!,You only live once!,( aela ) neon eo-tteol ttae bomyeon jin-jja oneulman saneun ae gat-a !,Fight For My Way,2017,1,,"Addressee term, Sentence ending",5
8:45,내일이 없다고 생각해?,What are we going to do tomorrow?,nae-il-i eobsdago saenggaghae ?,Fight For My Way,2017,1,,Sentence ending,5
8:47,아니! 난 그냥 생각을 안 했어!,"I didn't think about tomorrow.
I just didn't think!",( seolhui ) ani ! nan geunyang saenggag-eul an haess-eo !,Fight For My Way,2017,1,,Sentence ending,5
9:02,"설아, 아저씨들이 왜 향우에 목숨 거는지 알아?","Do you know why men die
for their hometown friends?","seol-a , ajeo-ssideul-i wae hyang-u-e mogsum geoneunji al-a ?",Fight For My Way,2017,1,,"Addressee term, Sentence ending",5
9:11,그리고 우리가 걜 여섯 살 때부터 키우다시피 했는데,"Also, we practically raised him
since he was six. ",geuligo uliga gyael yeoseos sal ttaebuteo ki-udasipi haessneunde,Fight For My Way,2017,1,,"Addressee term, Sentence ending",5
9:13,당연히 우리라도 와서 응원을 해줘야지!,We have to support him. ,dang-yeonhi ulilado waseo eung-won-eul haejwo-yaji !,Fight For My Way,2017,1,,,5
9:25,"몰아, 인마 피하고, 그렇지!",Keep your distance. Good. ,"( jangho ) mol-a , inma pihago , geuleohji !",Fight For My Way,2017,1,,,5
9:29,하세요!,"-Fight!
-Dong-man, use your feet. ",hase-yo !,Fight For My Way,2017,1,,,2
9:30,"야, 발 써, 고동만 발 쓰라고, 인마, 발","-Fight!
-Dong-man, use your feet.  Use your feet!","ya , bal sseo , godongman bal sseulago , inma , bal",Fight For My Way,2017,1,,,5
9:33,"발 써, 인마",Use your feet!,"bal sseo , inma [ peog soli ]",Fight For My Way,2017,1,,,5
9:35,"아오, 발 먼저 들어가라고 인마, 네가 해","Go for it, move in first!","a-o , bal meonjeo deul-eogalago inma , nega hae",Fight For My Way,2017,1,,,5
9:41,발로 까!,Kick him!,[ soliga ullinda ] ballo kka !,Fight For My Way,2017,1,,,5
9:43,어?,Kick him!,eo ?,Fight For My Way,2017,1,,,5
9:43,빨리 빵 쳐!,Kick him!,ppalli ppang chyeo !,Fight For My Way,2017,1,,,5
9:45,발로 까라고!,Just kick him!,"[ jujegog "" Dumbhead "" ] ballo kkalago !",Fight For My Way,2017,1,,,5
9:47,저게 왜 저깄어?,"-What's she doing there?
-Kick him!",jeoge wae jeogiss-eo ?,Fight For My Way,2017,1,,,5
9:47,뻥 차!,"-What's she doing there?
-Kick him!",ppeong cha !,Fight For My Way,2017,1,,,5
9:49,"뭐야, 쟤?",The psycho mic girl is here again. ,"mwo-ya , jyae ? ma-ikeu ttola-i tto olla-wassne , jeogeo",Fight For My Way,2017,1,,,5
9:49,"마이크 또라이 또 올라왔네, 저거",The psycho mic girl is here again. ,"mwo-ya , jyae ? ma-ikeu ttola-i tto olla-wassne , jeogeo",Fight For My Way,2017,1,,,4
9:51,발로 차!,"-Do it!
-Kick him!",ballo cha !,Fight For My Way,2017,1,,,5
10:33,촌년들이 얼마나 무서운데,Country girls are very scary. ,chonnyeondeul-i eolmana museo-unde,Fight For My Way,2017,1,,,5
10:36,뭐 저런 애들이 다 있어?,What's wrong with them?,mwo jeoleon aedeul-i da iss-eo ?,Fight For My Way,2017,1,,,5
10:39,보람아!,Bo-ram!,bolam-a !,Fight For My Way,2017,1,,,5
10:39,엄마야,Bo-ram!,eomma-ya,Fight For My Way,2017,1,,,5
10:40,"아, 너, 너 뭐야? 네가 여기 왜 왔어?",What are you doing here?,"a , neo , neo mwo-ya ? nega yeogi wae wass-eo ?",Fight For My Way,2017,1,,,5
10:42,너 왜 내가 준 커피 우유 고동만한테 줬어?,"Why did you give the coffee milk
I gave you to Dong-man?",neo wae naega jun keopi u-yu godongmanhante jwoss-eo ?,Fight For My Way,2017,1,,,5
10:46,"뭐? 아, 그거 따지자고 왔냐?",What? Did you come here to ask me that?,"mwo ? a , geugeo ttajijago wassnya ?",Fight For My Way,2017,1,,,6
