text,label
"고객님, 일단 환불처리 도와드리도록 하겠습니다",0
오늘 강남에서 펼쳐진 고교 태권도 전국체전에선 본 경기보다 더욱 재미있는 장외 경기가 펼쳐졌는데요,1
"아, 일단 좀 기다려 봐요",1
이거 안 가져가?,3
나는 내가 마시고 싶을 때 마시지만 너는 남이 마시고 싶을 때 마셔야 되잖아,3
이렇게 쉬운 사람이었구나,3
업무 때문에 온 건데 혼나긴요,1
고동만입니다,0
"그런데 꼭 성사는 시켜야 되는 거고 와, 완전 힘 빠진다, 진짜 그렇죠?",1
잘 좀 부탁합니다,0
그 문제를 실수로 틀릴 확률이 40%,3
법무 팀에서 검토까지 끝난 건을 네가 어떻게 다시 해,3
"야, 그래도 가끔 갑일 때도 있어",3
"야, 말 함부로 하지 마라",4
이전에도 유사한 사례가 있었나?,2
건전한 쇼핑을 위해 질서 있는 입장을 부탁드립니다,0
"저, 죄송합니다. 회사에서 전화가 와서요",1
한 번만 봐주지,3
보셨군요?,1
"대리님, 배울 게 많은 분이라고 하셨습니다",0
"일단 뭐, 사고 경위 간략히 정리된 파일 준비되죠?",1
결혼 3년 만에 파경을 맞은 것으로 알려져 충격을 주고 있습니다,0
그거 입고 고백하게?,2
포워딩 업체에 연락했어?,3
그거 뭐예요?,1
"자, 한잔하자, 자네도 잔 채워",3
"치워라, 손모가지 나간다",4
아무도 없는 사무실에 들어서는 것이 정말 기분 좋았다,4
담배 한 대 피우시겠습니까?,0
"생산 원가에서 일반 경비 치고 나면 그, 무리한 가격이야, 아니야?",3
설레지가 않고 걱정만 되냐?,4
대리님이 살아야죠,1
어떻게 그렇게 됐어,3
"그, 아무렴 10년 거래한 파트너를 이만 한 문제로 버리겠나?",2
"그럼 이 새끼, 어떻게 들어갔어?",3
바보냐,4
우리 일이라는 게 리스크가 다양할 수밖에 없어요,1
"와, 진짜 열심히 하네",2
우리 회사 호구 잡힌 거네요,1
그래 제대로 호구 잡힌 거야,3
수전증 있으세요?,1
밖으로 상표가 다 나왔네,2
"이야, 이게 몇 년 만이야 이야, 이렇게도 만나지는구나",3
왜 나는 이별까지 이렇게 모양 빠질까?,3
저 새의 주인이 너희냐,4
"저기, 대리님, 참고 자료입니다",0
"아, 선배님이 계신데 왜 제가 영업 3팀 도움을 받습니까?",0
"어, 뭐, 요, 요즘은 안 쓰나?",2
그 여자 보기보다 앙큼하네,2
"사장님 수고하셨습니다, 예",0
어? 뭐 연대 같이 가자 그런 거 같은데?,3
네? 대리님이요?,1
내가 185.6에 64kg짜리 슬림핏 다윗을 키워냈던 코치라고,3
잘 들어,3
"오늘은 또 뭔데, 응?",3
제발 좀 참으십시오,0
"예, 지금 보고서 작성 중인데요",1
"어허, 웬 소란이냐",4
나는 병신이다,4
"저, 왕년의 얘기 말고 근황 얘기는 없으세요?",1
무슨 문제인데요?,1
그 회사는 사원들 인물 보고 뽑나 봐요?,1
"아, 아니죠 그럴 리가 없죠",1
"어, 그래, 잘 가",3
격투기든 나발이든 운동 다신 안 해요,1
"아, 박 대리, 얘기 다 끝났어?",3
이놈 자식이,3
"야, 그, 목포장 불완전 여부 충분했잖아",3
길은 모두에게 열려 있지만 모두가 그 길을 가질 수 있는 것은 아니다,4
정수로 받습니다,0
배송 건은 곧 처리되겠죠 일부러 그러신 것도 아닌데,1
"예, 알겠습니다",0
"네, 죄송합니다",0
"왜, 뭐?",3
너 우리 학교 매점에서 커피 우유 선점하기가 얼마나 힘든 줄 알아?,3
저희가 잘못했습니다,0
"아, 그럼 예약 잡아야겠네요 어디로 할까요?",1
"그러니까 내가 불금에 동생한테 쐬주 쏠 일은 없는 거예요, 그쵸?",1
초기 거래에 집중한 겁니다,0
"아, 자전거를 타고 가세요!",1
엄마야,3
어떻게 됐어?,3
또 뭐라고 하세요?,1
"말했니, 지금?",3
"자, 갈게요",1
"몰아, 인마 피하고, 그렇지!",3
나 혼나서 또 출동한 거지?,3
뭐?,3
한 시간이 넘었는데요,1
거래처에서도 순서가 밀리는 분 아닙니까?,0
넌 어떨 때 보면 진짜 오늘만 사는 애 같아!,3
"내가 한국 들어오면 내가 크게 한잔 쏠게, 어",3
"뒤질래, 너 진짜?",3
"어, 무빈이, 박무빈",3
"아이, 걱정 마세요, 친구인데 확실히 힘써 준대요",1
그럼 지금 바로 스위프트 보냅니다,0
도봉구민의 아토피 치료를 책임지고 있죠,1
목적지가 설정되었습니다,0
다시 말하지만 나는 남자 얼굴 보잖아,3
걷는 것이 아니라 걸으면서 나아가기 위한 것이다,4
너 같으면 내리겠니?,2
하지만 박 대리님이 많이 당황하신 거 같은데,3
몇 번 말씀드렸잖아요,1
어찌 홍시라고 생각했느냐 하시면 제가 어떻게 대답을 해야 할까요?,1
"죄송한데, 제가 급한 일이 번뜩 생각나가지고 당장 가봐야겠네요",1
미안해서 얼굴을 못 보겠네,2
"아, 저는 1%라고 생각했습니다",0
아니요 저는 현모양처 될 건데요,1
너 근데 얼굴이 왜 그렇게 벌그죽죽하냐?,4
절차대로 진행해도 되겠습니까? ,0
일단 한번 해 보겠습니다,0
그래서 그냥 나도 너한테 갑질 한번 해 봤다고 쳐라,4
깔맞춤,3
너 설마 또 떨어졌어?,3
엥? 왜?,3
"아, 오면 온다고 전화라도 하지 그랬어, 거참",3
누가 순대 달랬지 간 달랬어요?,1
"아니, 이거 말고요",1
그 영성실업인가 그쪽 팀 들어왔어요,1
저희 거 언제 처리됩니까?,0
커피 한잔해,3
테레비는 사랑을 싣고' 같은 데서 쌤 찾을게요,1
응?,3
거래 끊지 말아 주십시오,0
"아이, 좋은 회사지",3
"저, 부장님 무역 협회 임원 미팅 가셔야 합니다",0
"예, 예, 잠시만요 바꿔 드릴게요",1
"아, 그러면 처음부터 가능성도 없으면서 간은 왜 본 거야?",3
무섭게 왜?,3
제가 설명하겠습니다,0
잠이 와?,3
너는 머리띠나 내놔,3
"마이크 마이크 챙겨, 마이크",3
"어, 요 앞 열무 보리밥집 아줌마네?",2
"어, 수고했어",3
구매자님 본인 박점순 님 되시는지요?,1
아나운서 공부 잘해야 되는 거야,3
"아, 예, 예 다시 전화해 보겠습니다",0
"저, 우리 이야기 좀 해야 하니까 잠깐 나가 줄 수 있어요?",1
"아, 너, 너 뭐야? 네가 여기 왜 왔어?",3
안녕하세요?,1
어떻게 책임질 건데?,3
"아, 나는 백기 씨가 엄청 궁금해하는 줄 알았지",3
"어, 어 웬 자전거야?",3
"야, 발 써, 고동만 발 쓰라고, 인마, 발",3
"네, 김 대리님, 아직 있습니다",0
뒤탈 나는 거 아닙니까?,0
"어, 아니야 길 아는 내가 하는 게 효율적이야",3
의사 선생님이신가 보다,4
어쩐지 일이 잘될 거 같은 느낌이 듭니다,0
사람들에게 필요한 물건을 파는 사람입니다,0
"처음부터 말을 말든지, 어?",3
"네, 들을 만해요",1
인사해,3
"어이쿠, 열녀님 처음 뵙겠습니다.",0
용달을 부르시든가!,2
'왜 여기 있어'?,3
코리안 타임'요?,1
"네, 많이 불편하셨죠?",1
"아휴, 왜 또 그래",3
그렇게 말하면 뭐가 달라 보이나? 있어 보여?,2
선생님,0
"예, 송 과장님",0
"어, 괜찮, 괜찮으세요?",1
너무 많지 않니?,2
"장그래 씨, 지금 상황에서는 빠지는 게 좋습니다",0
"미안해, 자기야",3
너도 애라 따라 아나운서 될 거야?,3
"아니, 택시를 타든가",2
"아니, 어쩜 그렇게 멍청하니?",2
"과장님, 과장님 친하셨어요?",1
제가 지금 이거 첫 주문서 넣고 있는데요,1
이 배짱 싸움인 거거든,3
쪽팔려서 현기증이 날 것 같다,4
잤어,3
"야, 이게 이래 봬도 이게 황금 비율이야, 어",3
이거 제가 할게요,1
오늘 안 되는데요?,1
"과장님, 소식 왔습니다",0
"누나, 대박입니다",0
"사장님 아, 진정하십시오",0
"아, 그게 아니라요",1
너 이런 거 하지 마!,3
자신 있게 50을 얘기했으니까 50대만 맞자?,3
"너 이리 와, 이리 와! ",3
"거, 조심하지, 자식이",3
"야, 어떡할 거냐고!",4
안영이 씨 안녕하세요?,1
다 끝났어요,1
내일모레면 서른인데 누가 국대로 써주기나 한대요?,1
어떤 바둑을 졌을 때보다 처참했다,4
왜 이렇게 항상 상대 쪽에 서 있어,3
대답해 봐,3
하지만 소송 건은 아닙니다,0
한석율 씨,1
너무 예상하지 못한 시나리오인데?,3
말도 안 돼,3
"그런데 그때마다 직원에게 책임을 물어서는 뭐, 끝도 없는 일이 될 거야",3
도전하겠습니다,0
"어휴, 청국장은 맨날 청국장이야",3
비스트 두준이랑 같은 반인 거 몰랐죠?,1
저들은 새로운 수익을 모색했습니다,0
"야, 이 자식아 나 너 사진 보고 한눈에 팍 알아봤잖아, 어?",3
절차라면 계약의 해지를 말하는 거요?,1
"아, 믿으라면서, 어?",3
"아이고, 선생님 이성을 찾으시죠",1
영업에 꼭 필요한 덕목을 지니신 분이라 하셨습니다,0
너 부장님이 뭐라 하시는 줄 알아?,3
얘 그 아나운서 몇 년 하다가 재벌 집에 시집간 애 아니야?,3
"아, 대리님 제가 한다니까요",1
"인제 와서 인공호흡도 안 되고 어떡할 거야, 어?",3
우리나라에 그 맨 자 달린 직업이 딱 두 개거든,3
협찬 좀 해주라,4
업체에서 다른 거래처를 늘린 건 아닐까요?,1
이거 무기 담배 냄새잖아,3
우리 회사는 오히려 삭감했습니다,0
좀 늦으시네요.,1
"설아, 아저씨들이 왜 향우에 목숨 거는지 알아?",3
내가 이 맛에 상사맨 하는 거 아니야,3
그럼 이걸 저희 임대로 이제 내주시는 거예요?,1
뭐야,3
"아, 근데 찬숙아, 너 결혼식에 걔는 오니?",2
"아, 대외적으론 내가 찬 거로 해",3
너 왜 전화를 안 받아?,3
채워,3
어서 오십시오,0
바로 접니다,0
"깜짝이야, 인마, 이거!",3
오늘의 라스트 영상을 보시면서 스포츠 뉴스 여기서 마치겠습니다,0
"아, 그 건요?",1
너는 모르겠지만 옛날에 너는 갑 같았고 나는 을 같았다,4
그만해!,3
끝났어,3
"아, 씨 스크래치 났네",2
"저, 대리님 제가 할 일 없을...",1
이따 집에 갈 때 혼자 버스 타고 가세요,1
몰랐죠,1
"장백기 씨, 주세요",1
밝아,3
스타일리시한 TV 드라마의 장면처럼 고무되는 시간들이었다,3
홈쇼핑 식품 구매 담당이 됐다,4
근데 어쩜 이 타이밍에 우리가 딱 이렇게 다시 만나니?,2
막내 놈 아주 딱 부러지는구먼,2
애라야,3
그럼 저희는 저희 쪽에서 컨펌 받은 계약서 준비해 주시고요,1
"어, 현지 서포트 덕이야, 어",3
우리 같은 말단 신입한테는 그런 회의 경험도 큰 도움이 된다고요,1
"아, 다 잘됐대요",1
그런데 최근에 몇 번 선적 문제가 발생했어요,1
"아, 왜 톡을 다 씹어?",3
대리님은 정말 정확하시네요?,1
어디 가 있었어?,3
이따 강남 갔다 와서 바로 주면 오늘 야자 전에 줄 수 있어,3
"아주 입술에 핏기가 아주 하나도 없네, 어?",2
종이 쪼가리 좀 치워,3
그 회사는 학력 안 봐?,3
그니까 나 좀 냅둬요 나도 좀 살게!,3
15만 회 했으면 데이터 나오는 거잖아!,3
걜 보면 세상 피로가 싸악 풀려,3
"뭐야, 너, 너 여기 왜 있어?",3
"어, 괜찮네",2
내가 걔 노가다 안 시켜,4
"내가 뭐, 지금 싸우자고 하는 소리야?",3
가자,3
저 자전거 못 타요!,1
"다신 안 해, 죽어도 안 해요!",1
전화 한번 해 볼까요?,1
"우리 똥만이, 쭈만이 만만이 브라더스",3
오늘부터 너 어디 가면 남친 있다고 해,3
여보세요?,1
뭐라고요?,1
"아휴, 새 찬데",3
도대체 머릿속에 뭐가 들은 거야?,3
진짜 대박이다,4
말씀드리겠습니다,0
"한때 무슨 운동으로 유명하셨다던데, 뭐 하셨어요?",1
"네, 제 생각은 그렇습니다",0
다음에는 목을 맞힐 것이다,4
둘이 싸웠나?,2
업체한테 다시 연락해 볼게요,1
그런데 지금 와서 이게 뭐야 어?,3
"아오, 진짜 뼈 맞았어, 아...",3
"아, 그래요?",1
"야, 근데 아침밥 먹을 거냐고 물어보는 건 좀 그렇잖아",3
이거 백 분데,1
뻥 차!,3
"어, 누나 왔어? 웬일로 갑자기?",3
너 어디 행사 뛰러 다녀? 응?,3
내가 단호하게 한마디 했지,3
"아유, 잘생겼는데 왜 그러세요",1
"에, 그 뭐냐",4
"왜, 팽 당했어?",3
야,3
저 혼자 가도 됩니다,0
"아이, 솔직히 박 대리님이 백기 씨 과도 아니었고, 그렇죠?",1
"아, 붙었어야 머릴 식히지",3
이건 왜 갖고 온 거야,3
그래도 장그래 씨는 끝까지 남아 있었네요?,1
오늘 특별히 피톤치드도 서비스해드렸습니다,0
"예, 일단 빨리 받을 수 있게 조치해 달라고 했고요",1
그나저나 제2의 백지연은 안 하기로 한 거야?,3
다윗과 골리앗의 싸움이다,4
태풍 특보가 내려질 가능성이 있겠습니다,0
"그 정돈 해줄 수가 있잖아 우리가, 응?",3
걔가 나 좋대냐?,4
"나처럼, 어?",3
어릴 적 동네 문방구 아저씨는 문을 열면 언제나 수도를 틀어 가게 앞을 청소했다,4
그럼 그냥 시집이나 가지 그래?,3
비루한 훈수질이냐,4
"야, 이거, 이걸 주는 거야?",3
어떤 놈의 셔틀콕에 맞았는데요,1
어째 오빠 카드에 의탁해 살게 됐냐?,4
"아, 죽이는구만",2
아줌마들 등산복이야?,3
"아이, 사장님 제발 좀 진정하십시오",0
다 텄어,3
지금 이 시점에서 니들이 아는 문제가 나올 확률 20%,3
체육 하다가요,1
너 이거 갈아 신어라,4
상 받으러 가겠습니다,0
"야, 그래도 우리 상사맨 자부심이 얼마나 대단한데",3
그때 너의 이 고급스러운 명품 체크가 양어깨에,3
얘기는 잘됐다고 하더라고요,1
교육도 끝나지 않았고요,1
제가 제 책임을 다하지 못했습니다,0
"저, 박무새? 아니야, 너 이름이...",3
"어, 무빈이",3
추성훈이가 75년 토끼띠야,3
지금까지 꼴뚜기 찾았나 봐,3
"야, 하 대리 온다잖아, 왔네",3
절차대로 합시다,0
광저우 쪽 물량 확인을 못 했었나 봅니다,0
"어이쿠, 얼마나 속상하셨어요",1
제게 책임을 물어 주십시오,0
"네, 대리님",1
이거 정말 미안하게 됐습니다,0
상상이 아니었다,4
괜찮으세요?,1
물이 없는 나라에 물을 줄 수도 있습니다,0
"궁금하잖아, 안 궁금해?",3
"박 대리, 미안하게 됐습니다",0
"왜, 또 꼬치 맛이 나냐?",4
너는 대체 모르는 게 뭐냐?,4
"눈에 파스 바르는 거 위험한 거야 큰일 나, 아주",3
그 전사적 회의에 장그래가 함께 들어갔다는 거지,3
너 군대 안 갔다 왔냐?,4
보람아!,3
저는 회사를 대표해 그들을 설득하지 못했습니다,0
"전쟁이에요, 전쟁",1
다음은 안타까운 소식입니다,0
뭐야? 왜 또 전화를 안 받아?,3
갈아입어라,4
"축하해, 축하해",3
"대리님, 죄송합니다",0
누가 태권도 하재?,3
운동은 안 했어요 운동 안 했어요,1
"무기야! 아, 문 열어!",3
너는 울산 태성 학원이고 나는 전주 태성 학원이라고,3
남자는 뭐니 뭐니 해도 비주얼 아니겠니?,2
그 길을 통과하는 거로 하루를 시작했다,3
윌마트 구매 총괄 팀요?,1
의사? 내가 안에 가운 입은 거 다 봤거든,3
지금 떠든 놈 일어나,3
일부러 이러는 거 아니야?,3
네 알 바 아니잖아,3
지금 상황에서 이해하기 쉽게 말해 줄게,3
"우와, 근데 경치 좋다",4
정말 죄송합니다,0
저는 아무 도움도 되지 못하더라고요,1
안 내리냐?,4
"한석율 씨, 그만 가요",1
머리 안 감았냐?,4
너 내가 하루 종일 인포에 서서 얼마 버는 줄 아니?,2
"선생님! 선생님, 선생님, 괜찮으세요?",1
주문하시겠어요?,1
"예, 여기, 여기",0
"장그래 씨, 혼나는 거 아니야?",3
책 좀 반납하고 오겠습니다,0
"아유, 많이 다쳤어요?",1
"어우, 교통비만 제 원룸 월세값이 나와버리더라고요",1
"아, 그 자료가 아니라고요?",1
"야, 약속한 거 잊지 마 연락 기다린다",4
장사 잘되시죠?,1
인트라넷으로 주제별 신문 기사도 꼼꼼히 챙겨 봤다,3
둘 다 잡아,3
달인 449호 서민 갑부 열무의 여왕이었다,4
"여기, 내 앞머리 숱 좀 털어봐",3
출발해주세요,1
"네가 설레발 안 쳤으면 애초에 다른 작전 짰을 거 아니야, 어?",3
녹여,3
그래서 나는 그냥 열심히 하지 않은 편이어야 한다,4
"아, 넌 진짜 지방색이 너무 짙어서 큰일이다",4
"야, 이미 행사가로 반값이다 뭘 또 깎냐?",4
근데 애라 너 아는 분이셔? 소개를 시켜줘야지,3
 끝났네,2
오늘만큼 부끄러운 날은 없어!,3
"네, 직접 말씀하셨어요",1
아무래도 아폴론 눈병인 것 같아요,1
킵해 놓은 술 좀 드릴까요?,1
저는 자원 팀입니다,0
우리 만만이 브라더스 상 줘야지 나와!,3
그래?,3
제가 볼 때는 그냥 유야무야 넘어갈 가능성이 커요,1
감사합니다,0
"오셨습니까, 사장님?",0
예?,0
지금 내가 내는 문제를 맞히면 안 맞는 거야?,3
"야, 인마, 괜찮을 리가 있냐",4
"뭐, 그런 의도야?",3
웬 열무를 두 통째 배달하세요?,1
복귀전을 해도 각이 나올 거 아냐!,4
아무것도 아닙니다,0
이거 또 떨어진 거 아냐?,4
가,3
가십시오,0
"아, 무기 엄마라고?",3
도현 씨는 안 그래요?,1
"아, 저기 뭐 전공 같은 건 없으세요?",1
"네, 고객님 진드기 박멸 완료됐고요.",1
"마이크 또라이 또 올라왔네, 저거",2
"아 아, 예, 아니요 아니요, 아니요, 잘못 보냈고요",1
3인분 빨리 주세요,1
쫙 쫙 있으면 뭔가 우리 똥만이,3
남자친구 없어?,3
편하냐?,4
"9,900원에 안주가 세 개나 나오거든요, 요즘...",1
괜찮습니다.,0
"예 오라이, 오라이, 오라이",0
책임을 물었던 것입니다,0
"아, 아이, 반가워요",1
"택시, 아, 저기, 잠시만요",1
"대박이다, 이거 진짜 신기한 경험 하네",2
사이클 테스트 통과했는데 왜 못 와,3
상대 만족 다 시켜 주고 나면 우리 뭐 먹고 살래?,3
한 번만 봐주시죠,0
소주 맥주 각 1병 주세요,1
왜 이러세요,1
내가 일이 많이 밀려서 마음이 급해서,4
무기 추리닝 바지랑 아줌마 윗도리가 세트 같지?,3
"아유, 진짜 왜 그러고 다니냐? 사람 속 터지게",4
장그래 씨 마음대로 하십시오.,0
정신이 똑바로 박힌 놈이면 지가 노가다라도 뛸 생각을 해야지!,3
자기야,3
"내려놔, 그거 하지 마",3
어쨌든 회사에서 보호해 준다 해도 당사자는 고통을 받아,3
"네, 그렇습니다",0
"희선 씨, 정리 좀 해 줘",3
걔는 너랑 그냥 쌍방 레벨이 맞았지,3
아주 제일 비싼 신상 백이네,2
태국 회사랑 추진하고 있는 사업이 잘될 가능성이 높다고 그랬잖아요,1
하고 가십시오,0
잘 안 들리세요?,1
박 대리 상사이신 선 부장하고의 인연은 책 한 권이야 말로 다 하지를 못해요,1
제 방구 냄새를 맡지도 못합니다,0
누구 아는 사람 없어?,3
얼씨구? 네 남친 고시 붙었냐?,4
보고 싶다,4
"아휴, 교복 꼬라지 봐라.",4
자네가 뭐라고 책임을 물어,3
꽃등심이야?,3
제가 인도네시아 건이랑 헷갈렸습니다,0
어? 발등이 왜 그래요?,1
"애라야, 나 좀 살려주라",4
몇 건의 배송 문제가 있었던 것으로 파악됩니다,0
장백기 씨가 할 수 있는 일이 없다고 했잖습니까,0
"야, 여기 상처 났냐? 봐봐",4
"그래, 걱정하지 마, 친구야 나만 믿어",3
단백질을 먹어야지,3
바둑에서는 묘수 또는 꼼수라 부른다,4
"어떻게 한 번을 못 붙냐, 한 번을",4
장그래 씨도 참 답답하네요,1
"예, 그럼 그것 좀 확인하시고 연락 좀 부탁드리겠습니다",0
잠시만요 제가 한번 해볼게요,1
없어?,3
뭔 일 있어?,3
그러십시오,0
"아, 거기 밑에 수납장 열어 보세요",1
박 대리님은 분명 이 상황까지는 못 본 거다,4
네,1
그래서 지금 어딘데?,3
시합이 몇 시랬지?,3
잠시 후 떨어집니다,0
드디어 왔구만,2
오늘은 제가 커피를 샀으니까 불금에 누님이 쐬주를 쏘세요,1
"뭐야, 이거?",3
"예, 알겠습니다 엑셀로 정리된 파일이 있으니까 바로 보내 드리겠습니다",0
제가 아나운서 되면,1
괜찮아요? 괜찮아요?,1
버리셔야 합니다,0
촌각을 다투는 물품도 아니어서 리스크도 크지 않습니다,0
우리 지금 완벽해,3
"아, 누가 복귀한대요?",1
"같이 들어갔다면서 뭐, 뭐 안 좋았어요?",1
생각보다 힘들 거다 각오도 했었는데,3
"아니, 아...",3
"아, 안녕하십니까?",0
영업 3팀 신입 사원 장그래입니다,0
그 아저씨처럼 내가 문을 열고 하루의 시작을 결정하는 기분이 정말 좋았다,3
저분들을 구제해 주십시오,0
"아니, 부장님이 계속 물어보시더라고요",1
정답!,3
"어디 가, 어디 가! 야, 너 형광이랑 너 핑크 다 봤어!",3
나 태권도 다신 안 해요,1
"리스크 관리 팀, 심사 팀 법무 팀 소집해",3
태국 라면 윌마트 납품 건 말입니까?,0
"네, 그랬죠",1
기어코 국토 대장정을 가시겠다며,3
"아, 택시요? 자, 잠시만!",1
"이 나라 공주의 명이다 멈춰라, 붕붕",4
"저, 과장님, 윌마트 경과보고서 제가 쓸까요?",1
뭐 저런 애들이 다 있어?,3
"끝이네, 끝",2
"너무 늦었네, 이거 어쩌지?",3
발로 까라고!,3
그냥 톡 까놓고 한 번 물을게요 우리 동네 왜 자꾸 와요?,1
왔어? 잡아,3
그니까 받아보신 이불에서 방구 냄새가 나신다는 말씀이시죠?,1
못 한 건가?,2
손실 배상과 상관없이 계약서 재검토는 불가피합니다,0
배트맨과 스파이더맨도 팔 수 있습니다,0
"이씨, 내비 저거 여기는 왜 와 가지고, 진짜",3
처리되면 연락 주세요,1
본사로 들어가서 논의한 뒤 통보해 드리겠습니다,0
"이야, 이거 애들이 준 넥타이라더니 이거 진짜 신통방통하네요",1
"아, 이 업체는 안 돼요",1
아무튼 영성실업은 이제 큰일 났네요,1
"못 가, 나 오늘 수업 땡 까고 강남 가야 돼",3
우리는 아직 아무것도 할 수 있는 일이 없다니까요,1
"5, 50! 50%입니다!",0
왜 바지는 거꾸로 입고 있어?,3
하다 하다 이제 고시생한테까지 차이고 다니냐?,4
내가 누구한테 고백을 해?,3
어디게 편해,3
근데 살살 치셔야 돼요 이거 부러질 수 있어서,1
그날이야?,3
대답 안 해?,3
"너도 옛날에 간 본다고 내 반찬 뺏어 먹었잖아, 인마",3
"또 짹짹대네, 저거",2
학생한테 딜을 하지 마시고 화끈하게 한번 봐주십시오,0
